Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-October-2014,486.80,500.50,481.50,483.80,491.617974862274894680,345616,9229,169911038.00,63359,18.33,19.00,-3.00
14-October-2014,500.00,501.00,486.10,488.20,490.496070814886126394,357326,12365,175266999.00,97883,27.39,14.90,-11.80
13-October-2014,490.00,498.30,480.35,496.35,490.704618740947887157,439124,13682,215480175.00,72797,16.58,17.95,6.35
10-October-2014,515.00,515.00,489.80,492.35,497.399010035407151027,640831,19938,318748705.00,226722,35.38,25.20,-22.65
9-October-2014,516.00,522.00,513.50,519.95,517.654663314724389378,200083,5816,103573898.00,65543,32.76,8.50,3.95
8-October-2014,506.00,512.55,502.10,510.00,509.270179421328962476,228178,6188,116204251.00,46943,20.57,10.45,4.00
7-October-2014,501.25,516.80,501.00,504.90,509.493588676529715914,390481,9512,198947566.00,103926,26.61,15.80,3.65
1-October-2014,502.65,507.70,499.30,502.75,504.291518640215430985,202385,7294,102061039.00,48431,23.93,8.40,0.10
30-September-2014,511.50,514.40,501.25,502.75,509.226147205815538391,281728,7071,143463264.00,49097,17.43,13.15,-8.75
29-September-2014,510.80,515.40,508.00,510.75,511.142007923188847446,232987,8372,119089443.00,57576,24.71,7.40,-0.05
26-September-2014,501.00,513.00,492.75,511.45,504.680631426645254781,446481,11867,225330313.00,80784,18.09,20.25,10.45
25-September-2014,515.00,515.00,500.20,503.55,507.435347615783426822,207154,7052,105117262.00,44992,21.72,14.80,-11.45
24-September-2014,519.00,519.00,506.25,512.95,512.941041219253215389,375771,10943,192748368.00,80729,21.48,12.75,-6.05
23-September-2014,544.00,544.50,516.30,517.80,527.639577761227859987,772075,17024,407377327.00,272612,35.31,28.20,-26.20
22-September-2014,514.00,542.00,514.00,539.40,535.519585875666257321,622132,18011,333163871.00,172800,27.78,28.00,25.40
